app_name,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
2048,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2
AnkiDroid,,,,,,,,,,,,,,,
BeHe Explorer,13,0,0,1,0,0,0,8,7,30,19,0,0,8,6
Birthday Calendar,0,0,3,0,0,0,0,9,0,24,33,0,0,9,15
EP Mobile,,,,,,,,,,,,,,,
Glucosio,14,0,0,0,0,0,6,14,12,201,48,0,3,32,3
GnuCash,,,,,,,,,,,,,,,
GPSLogger,,,,,,,,,,,,,,,
JumpGo,39,0,0,0,0,0,3,24,35,126,32,0,0,39,4
K-9 Mail,,,,,,,,,,,,,,,
Lightning,24,0,0,0,0,0,3,8,17,84,12,0,0,29,3
materialistic,,,,,,,,,,,,,,,
NetworkTools,0,0,0,0,0,0,6,12,18,24,6,0,0,12,3
nextcloud,,,,,,,,,,,,,,,
NextINpact,12,0,0,0,0,0,6,0,15,51,24,0,0,9,21
Ouroboros,3,0,0,0,0,0,0,36,6,87,57,0,0,12,29
owncloud,,,,,,,,,,,,,,,
Shaarlier,0,0,0,0,0,0,3,12,3,24,18,0,0,6,0
Signal Private Messenger,,,,,,,,,,,,,,,
SoundWaves,,,,,,,,,,,,,,,
Terminal Emulator,12,0,3,0,4,0,0,20,17,79,17,0,0,36,17
ToneDef,0,0,0,0,0,0,0,6,4,26,18,0,0,10,2
xabber,,,,,,,,,,,,,,,
