app_name,DR,DW,HMU,IGS,IOD,IWR,LIC,LPL,MIM,NLMR,PD,RAM,UCS,UHA,UIO
2048,0,0,0,4,0,0,2,0,0,3,0,0,0,0,0
AnkiDroid,0,0,55,51,9,0,455,48,18,33,0,0,0,0,6
BeHe Explorer,1,0,9,6,0,0,45,3,0,12,0,0,0,0,0
Birthday Calendar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP Mobile,0,0,3,7,0,0,0,11,11,12,0,0,0,0,0
Glucosio,0,0,1,4,0,0,0,1,1,14,0,0,0,0,0
GnuCash,,,,,,,,,,,,,,,
GPSLogger,0,0,6,27,0,0,163,65,27,32,0,0,0,0,0
JumpGo,0,0,4,0,0,0,0,1,2,5,0,0,0,0,0
K-9 Mail,0,0,278,422,0,0,1004,268,166,38,0,0,0,0,0
Lightning,0,0,1,2,0,0,0,17,2,4,0,0,1,0,0
materialistic,3,0,21,86,0,0,149,26,68,33,0,0,0,0,0
NetworkTools,0,0,0,0,0,0,26,0,3,6,0,0,0,0,0
nextcloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NextINpact,,,,,,,,,,,,,,,
Ouroboros,0,0,0,2,0,0,191,29,15,15,0,0,0,0,0
owncloud,0,0,80,543,0,0,552,170,72,73,0,0,0,0,0
Shaarlier,0,0,0,2,0,0,0,12,0,18,0,0,0,0,0
Signal Private Messenger,0,6,161,517,4,0,1280,468,264,89,0,0,0,0,19
SoundWaves,,,,,,,,,,,,,,,
Terminal Emulator,0,0,4,17,2,0,110,29,25,18,0,0,0,5,3
ToneDef,0,0,3,4,0,0,0,0,6,21,0,0,0,0,0
xabber,0,0,50,577,0,0,474,56,51,8,0,0,0,1,0
